"year","title","url","index","img_file","character_name"
"2012","Trouble with the Curve","http://www.imdb.com/title/tt2083383/?ref_=nm_flmg_act_1","01","img/img01.jpg","Gus"
"2008","Gran Torino","http://www.imdb.com/title/tt1205489/?ref_=nm_flmg_act_2","02","img/img02.jpg","Walt Kowalski"
"2004","Million Dollar Baby","http://www.imdb.com/title/tt0405159/?ref_=nm_flmg_act_3","03","img/img03.jpg","Frankie Dunn"
"2002","Blood Work","http://www.imdb.com/title/tt0309377/?ref_=nm_flmg_act_4","04","img/img04.jpg","Terry McCaleb"
"2000","Space Cowboys","http://www.imdb.com/title/tt0186566/?ref_=nm_flmg_act_5","05","img/img05.jpg","Frank Corvin"
"1999","True Crime","http://www.imdb.com/title/tt0139668/?ref_=nm_flmg_act_6","06","img/img06.jpg","Steve Everett"
"1997","Absolute Power","http://www.imdb.com/title/tt0118548/?ref_=nm_flmg_act_7","07","img/img07.jpg","Luther Whitney"
"1995","The Bridges of Madison County","http://www.imdb.com/title/tt0112579/?ref_=nm_flmg_act_8","08","img/img08.jpg","Robert Kincaid"
"1995","Casper","http://www.imdb.com/title/tt0112642/?ref_=nm_flmg_act_9","09","img/img09.jpg","Clint Eastwood"
"1993","A Perfect World","http://www.imdb.com/title/tt0107808/?ref_=nm_flmg_act_10","10","img/img10.jpg","Chief Red Garnett"
"1993","In the Line of Fire","http://www.imdb.com/title/tt0107206/?ref_=nm_flmg_act_11","11","img/img11.jpg","Frank Horrigan"
"1992","Unforgiven","http://www.imdb.com/title/tt0105695/?ref_=nm_flmg_act_12","12","img/img12.jpg","Bill Munny"
"1990","The Rookie","http://www.imdb.com/title/tt0100514/?ref_=nm_flmg_act_13","13","img/img13.jpg","Nick Pulovski"
"1990","White Hunter Black Heart","http://www.imdb.com/title/tt0100928/?ref_=nm_flmg_act_14","14","img/img14.jpg","John Wilson"
"1989","Pink Cadillac","http://www.imdb.com/title/tt0098097/?ref_=nm_flmg_act_15","15","img/img15.jpg","Tommy Nowak"
"1988","The Dead Pool","http://www.imdb.com/title/tt0094963/?ref_=nm_flmg_act_16","16","img/img16.jpg","Harry Callahan"
"1986","Heartbreak Ridge","http://www.imdb.com/title/tt0091187/?ref_=nm_flmg_act_17","17","img/img17.jpg","Highway"
"1985","Pale Rider","http://www.imdb.com/title/tt0089767/?ref_=nm_flmg_act_18","18","img/img18.jpg","Preacher"
"1984","City Heat","http://www.imdb.com/title/tt0087062/?ref_=nm_flmg_act_19","19","img/img19.jpg","Lieutenant Speer"
"1984","Tightrope","http://www.imdb.com/title/tt0088272/?ref_=nm_flmg_act_20","20","img/img20.jpg","Wes Block"
"1983","Sudden Impact","http://www.imdb.com/title/tt0086383/?ref_=nm_flmg_act_21","21","img/img21.jpg","Harry Callahan"
"1982","Honkytonk Man","http://www.imdb.com/title/tt0084088/?ref_=nm_flmg_act_22","22","img/img22.jpg","Red Stovall"
"1982","Firefox","http://www.imdb.com/title/tt0083943/?ref_=nm_flmg_act_23","23","img/img23.jpg","Mitchell Gant"
"1980","Any Which Way You Can","http://www.imdb.com/title/tt0080377/?ref_=nm_flmg_act_24","24","img/img24.jpg","Philo Beddoe"
"1980","Bronco Billy","http://www.imdb.com/title/tt0080472/?ref_=nm_flmg_act_25","25","img/img25.jpg","Bronco Billy"
"1979","Escape from Alcatraz","http://www.imdb.com/title/tt0079116/?ref_=nm_flmg_act_26","26","img/img26.jpg","Frank Morris"
"1978","Every Which Way But Loose","http://www.imdb.com/title/tt0077523/?ref_=nm_flmg_act_27","27","img/img27.jpg","Philo Beddoe"
"1977","The Gauntlet","http://www.imdb.com/title/tt0076070/?ref_=nm_flmg_act_28","28","img/img28.jpg","Ben Shockley"
"1976","The Enforcer","http://www.imdb.com/title/tt0074483/?ref_=nm_flmg_act_29","29","img/img29.jpg","Harry Callahan"
"1976","The Outlaw Josey Wales","http://www.imdb.com/title/tt0075029/?ref_=nm_flmg_act_30","30","img/img30.jpg","Josey Wales"
"1975","The Eiger Sanction","http://www.imdb.com/title/tt0072926/?ref_=nm_flmg_act_31","31","img/img31.jpg","Jonathan Hemlock"
"1974","Thunderbolt and Lightfoot","http://www.imdb.com/title/tt0072288/?ref_=nm_flmg_act_32","32","img/img32.jpg","Thunderbolt"
"1973","Magnum Force","http://www.imdb.com/title/tt0070355/?ref_=nm_flmg_act_33","33","img/img33.jpg","Harry Calahan"
"1973","Breezy","http://www.imdb.com/title/tt0069822/?ref_=nm_flmg_act_34","34","img/img34.jpg","Man at Marina (uncredited)"
"1973","High Plains Drifter","http://www.imdb.com/title/tt0068699/?ref_=nm_flmg_act_35","35","img/img35.jpg","The Stranger"
"1972","Joe Kidd","http://www.imdb.com/title/tt0068768/?ref_=nm_flmg_act_36","36","img/img36.jpg","Joe Kidd"
"1971","Dirty Harry","http://www.imdb.com/title/tt0066999/?ref_=nm_flmg_act_37","37","img/img37.jpg","Harry"
"1971","Play Misty for Me","http://www.imdb.com/title/tt0067588/?ref_=nm_flmg_act_38","38","img/img38.jpg","Dave"
"1971","The Beguiled","http://www.imdb.com/title/tt0066819/?ref_=nm_flmg_act_39","39","img/img39.jpg","John McBurney"
"1970","Kelly's Heroes","http://www.imdb.com/title/tt0065938/?ref_=nm_flmg_act_40","40","img/img40.jpg","Kelly"
"1970","Two Mules for Sister Sara","http://www.imdb.com/title/tt0065134/?ref_=nm_flmg_act_41","41","img/img41.jpg","Hogan"
"1969","Paint Your Wagon","http://www.imdb.com/title/tt0064782/?ref_=nm_flmg_act_42","42","img/img42.jpg","Pardner"
"1968","Where Eagles Dare","http://www.imdb.com/title/tt0065207/?ref_=nm_flmg_act_43","43","img/img43.jpg","Schaffer"
"1968","Coogan's Bluff","http://www.imdb.com/title/tt0062824/?ref_=nm_flmg_act_44","44","img/img44.jpg","Coogan"
"1968","Hang 'Em High","http://www.imdb.com/title/tt0061747/?ref_=nm_flmg_act_45","45","img/img45.jpg","Marshal Jed Cooper"
"1967","Le streghe","http://www.imdb.com/title/tt0061037/?ref_=nm_flmg_act_46","46","img/img46.jpg","Carlo (Segment \"Sera Come Le Altre, Una\")"
"1966","Il buono, il brutto, il cattivo","http://www.imdb.com/title/tt0060196/?ref_=nm_flmg_act_47","47","img/img47.jpg","Blondie"
"1965","Per qualche dollaro in più","http://www.imdb.com/title/tt0059578/?ref_=nm_flmg_act_48","48","img/img48.jpg","Monco"
"1964","Per un pugno di dollari","http://www.imdb.com/title/tt0058461/?ref_=nm_flmg_act_50","49","img/img49.jpg","Joe"
"1958","Ambush at Cimarron Pass","http://www.imdb.com/title/tt0051349/?ref_=nm_flmg_act_53","50","img/img50.jpg","Keith Williams"
"1958","Lafayette Escadrille","http://www.imdb.com/title/tt0051840/?ref_=nm_flmg_act_54","51","img/img51.jpg","George Moseley"
"1957","Escapade in Japan","http://www.imdb.com/title/tt0050363/?ref_=nm_flmg_act_56","52","img/img52.jpg","Dumbo Pilot (uncredited)"
"1956","Away All Boats","http://www.imdb.com/title/tt0048971/?ref_=nm_flmg_act_59","53","img/img53.jpg","Corpsman (uncredited)"
"1956","The First Traveling Saleslady","http://www.imdb.com/title/tt0049212/?ref_=nm_flmg_act_60","54","img/img54.jpg","Lt. Jack Rice"
"1956","Star in the Dust","http://www.imdb.com/title/tt0049793/?ref_=nm_flmg_act_61","55","img/img55.jpg","Tom - Ranch Hand (uncredited)"
"1956","Never Say Goodbye","http://www.imdb.com/title/tt0049547/?ref_=nm_flmg_act_63","56","img/img56.jpg","Will (uncredited)"
"1955","Tarantula","http://www.imdb.com/title/tt0048696/?ref_=nm_flmg_act_64","57","img/img57.jpg","Jet Squadron Leader (uncredited)"
"1955","Lady Godiva of Coventry","http://www.imdb.com/title/tt0048279/?ref_=nm_flmg_act_65","58","img/img58.jpg","First Saxon (uncredited)"
"1955","Francis in the Navy","http://www.imdb.com/title/tt0048092/?ref_=nm_flmg_act_66","59","img/img59.jpg","Jonesey"
"1955","Revenge of the Creature","http://www.imdb.com/title/tt0048554/?ref_=nm_flmg_act_68","60","img/img60.jpg","Jennings (uncredited)"
